SITE_XN_ROUTE,LOC_LEG,STRT_LAT,STRT_LONG,GPS,BEARING_DESC,RGN_SHORT_NM,Comments
6411,59437,-37.77231,144.99042,[-37.772347 +144.990631],NORTH BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
6411,59438,-37.77235,144.99077,[-37.772347 +144.990631],SOUTH BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
6415,59485,-37.82713,144.98511,[-37.827009 +144.984261],EAST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
6415,59486,-37.82714,144.98513,[-37.827009 +144.984261],WEST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
6419,59458,-37.75829,144.98039,[-37.758216 +144.980308],NORTH BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
6419,59459,-37.75835,144.98044,[-37.758216 +144.980308],SOUTH BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
6423,59460,-37.82026,144.84103,[-37.820161 +144.840941],NORTH WEST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
6423,59461,-37.82032,144.84111,[-37.820161 +144.840941],SOUTH EAST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
6592,59452,-37.81035,144.93758,[-37.810344 +144.937641],NORTH WEST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
6592,59453,-37.81036,144.93762,[-37.810344 +144.937641],SOUTH EAST BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
6596,59454,-37.87102,144.97595,[-37.870953 +144.975962],NORTH BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
6596,59455,-37.87105,144.97595,[-37.870953 +144.975962],SOUTH BOUND,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
6600,59464,-37.89091,145.123,[-37.8910519 +145.123081],EAST BOUND,METRO SOUTH EAST,COMBINED BIDIRECTIONAL SITE
