SITE_XN_ROUTE,LOC_LEG,DATE,TIME,SPEED,WHEELBASE,HEADWAY,GAP,RHO,DIRECTION
40003,70006,17/05/2021,06:01:53,19.3,1.0,33364.3,33364.1,1.0,N
40003,70006,17/05/2021,06:19:54,11.7,1.0,1080.9,1080.7,1.0,N
40003,70006,17/05/2021,06:52:24,16.5,1.0,1950.5,1950.2,1.0,N
40003,70006,17/05/2021,07:38:44,17.9,1.0,633.0,632.6,1.0,N
40003,70006,17/05/2021,07:41:40,16.3,1.0,175.6,175.4,1.0,N
40003,70006,17/05/2021,07:47:26,15.3,1.1,346.1,345.9,1.0,N
40003,70006,17/05/2021,07:51:57,18.5,1.0,271.9,271.7,1.0,N
40003,70006,17/05/2021,07:57:29,20.2,1.1,331.8,331.6,1.0,N
40003,70006,17/05/2021,08:12:04,22.1,1.0,245.2,244.9,1.0,N
40003,70006,17/05/2021,08:43:13,13.7,1.0,1868.6,1868.5,1.0,N
40003,70006,17/05/2021,09:17:57,23.8,1.2,699.0,698.4,1.0,N
40003,70006,17/05/2021,09:41:42,17.6,1.0,1425.5,1425.4,1.0,N
40003,70006,17/05/2021,09:43:17,21.2,1.0,94.5,94.3,1.0,N
40003,70006,17/05/2021,09:53:32,16.1,1.0,615.6,615.4,1.0,N
40003,70006,17/05/2021,10:27:05,20.1,1.0,2013.2,2013.0,1.0,N
40003,70006,17/05/2021,10:44:08,19.5,1.0,1022.8,1022.6,1.0,N
40003,70006,17/05/2021,11:38:52,20.4,1.1,3283.6,3283.4,1.0,N
40003,70007,17/05/2021,11:43:20,11.3,0.9,9422.6,9422.6,1.0,S
40003,70006,17/05/2021,11:51:41,13.0,1.0,769.6,769.4,1.0,N
40003,70006,17/05/2021,12:30:12,10.8,1.0,2311.1,2310.9,1.0,N
40003,70006,17/05/2021,12:43:24,19.9,1.0,20.1,19.9,1.0,N
40003,70006,17/05/2021,12:48:05,19.1,1.0,280.9,280.7,1.0,N
40003,70006,17/05/2021,13:05:01,22.2,1.0,1015.7,1015.5,1.0,N
40003,70006,17/05/2021,13:36:49,18.1,1.0,721.6,721.2,1.0,N
40003,70006,17/05/2021,13:45:38,30.7,1.0,529.1,528.9,1.0,N
40003,70006,17/05/2021,14:00:28,21.7,1.0,890.2,890.1,1.0,N
40003,70006,17/05/2021,14:09:01,16.7,1.0,512.5,512.4,1.0,N
40003,70006,17/05/2021,14:38:56,21.7,1.0,1795.6,1795.4,1.0,N
40003,70006,17/05/2021,14:46:30,21.0,1.0,453.7,453.6,1.0,N
40003,70006,17/05/2021,15:59:19,10.9,1.0,1278.3,1278.1,1.0,N
40003,70006,17/05/2021,16:07:35,17.6,1.0,495.6,495.3,1.0,N
40003,70006,17/05/2021,16:16:33,19.0,1.0,537.8,537.7,1.0,N
40003,70006,17/05/2021,16:39:54,14.4,1.0,1401.4,1401.2,1.0,N
40003,70006,17/05/2021,16:39:56,15.9,1.0,2.1,1.8,1.0,N
40003,70006,17/05/2021,16:46:10,13.7,1.0,373.5,373.3,1.0,N
40003,70006,17/05/2021,16:51:14,27.3,1.1,304.4,304.2,1.0,N
40003,70006,17/05/2021,16:54:27,19.2,1.0,192.5,192.4,1.0,N
40003,70006,17/05/2021,17:00:02,20.9,1.0,334.9,334.7,1.0,N
40003,70006,17/05/2021,17:12:13,19.0,1.0,731.3,731.1,1.0,N
40003,70006,17/05/2021,17:12:31,22.4,1.0,18.5,18.3,1.0,N
40003,70006,17/05/2021,17:21:40,16.1,1.1,548.8,548.7,1.0,N
40003,70006,17/05/2021,17:24:20,19.3,1.1,109.1,108.7,1.0,N
40003,70006,17/05/2021,17:26:17,21.9,1.0,117.2,117.0,1.0,N
40003,70006,17/05/2021,17:37:51,23.4,1.0,693.7,693.6,1.0,N
40003,70006,17/05/2021,17:38:38,15.7,0.9,46.8,46.6,1.0,N
40003,70006,17/05/2021,17:39:58,18.2,1.0,80.3,80.1,1.0,N
40003,70006,17/05/2021,17:42:12,19.3,1.0,134.1,133.9,1.0,N
40003,70006,17/05/2021,17:42:39,15.6,1.0,27.0,26.8,1.0,N
40003,70006,17/05/2021,17:45:04,18.1,1.0,145.0,144.8,1.0,N
40003,70006,17/05/2021,17:45:05,18.2,1.1,0.6,0.4,1.0,N
40003,70006,17/05/2021,17:45:41,14.0,1.0,36.1,35.9,1.0,N
40003,70006,17/05/2021,17:46:31,16.5,1.0,50.1,49.8,1.0,N
40003,70006,17/05/2021,17:46:38,14.3,1.0,6.7,6.5,1.0,N
40003,70006,17/05/2021,17:47:14,25.5,1.0,36.2,36.0,1.0,N
40003,70006,17/05/2021,17:47:30,20.2,1.1,15.8,15.6,1.0,N
40003,70006,17/05/2021,17:51:42,18.3,1.0,252.3,252.1,1.0,N
40003,70006,17/05/2021,17:51:46,17.8,1.0,4.0,3.8,1.0,N
40003,70006,17/05/2021,17:54:04,10.6,1.1,137.7,137.4,1.0,N
40003,70006,17/05/2021,17:59:22,26.2,1.0,228.5,228.2,1.0,N
40003,70006,17/05/2021,18:09:08,14.4,1.0,586.4,586.3,1.0,N
40003,70006,17/05/2021,18:10:31,17.3,1.0,82.7,82.5,1.0,N
40003,70006,17/05/2021,18:10:39,16.0,1.0,8.1,7.9,1.0,N
40003,70006,17/05/2021,18:12:58,20.2,1.0,138.8,138.6,1.0,N
40003,70006,17/05/2021,18:14:16,15.4,1.0,78.3,78.1,1.0,N
40003,70006,17/05/2021,18:16:29,18.1,1.0,58.1,57.7,1.0,N
40003,70006,17/05/2021,18:17:52,18.4,1.1,83.1,82.9,1.0,N
40003,70006,17/05/2021,18:24:05,27.4,1.0,373.0,372.8,1.0,N
40003,70006,17/05/2021,18:33:05,22.4,1.1,539.7,539.5,1.0,N
40003,70006,17/05/2021,18:50:18,11.8,1.0,1033.7,1033.6,1.0,N
40003,70006,17/05/2021,18:50:19,10.8,0.9,0.6,0.3,1.0,N
40003,70006,17/05/2021,18:59:35,14.1,1.0,556.4,556.1,1.0,N
40003,70006,17/05/2021,19:04:16,21.1,1.1,177.4,177.0,1.0,N
40003,70007,17/05/2021,19:09:12,18.6,0.9,8514.4,8514.0,1.0,S
40003,70006,17/05/2021,19:15:54,16.9,1.0,697.3,697.1,1.0,N
40003,70006,17/05/2021,19:17:57,17.5,1.1,123.8,123.6,1.0,N
40003,70006,17/05/2021,19:22:38,15.0,1.0,280.5,280.2,1.0,N
40003,70006,17/05/2021,19:52:06,20.4,1.0,1767.9,1767.7,1.0,N
40003,70006,17/05/2021,20:16:52,17.4,1.0,1486.2,1486.0,1.0,N
40003,70006,17/05/2021,20:27:51,15.5,1.0,659.0,658.8,1.0,N
40003,70006,17/05/2021,20:27:57,15.7,1.0,6.0,5.7,1.0,N
40003,70006,17/05/2021,20:36:56,15.7,1.0,538.6,538.4,1.0,N
40003,70006,17/05/2021,21:01:40,17.9,1.0,1484.1,1483.9,1.0,N
40003,70006,17/05/2021,21:43:01,20.1,1.0,2480.9,2480.7,1.0,N
40003,70006,17/05/2021,22:48:27,18.4,1.1,3926.1,3925.9,1.0,N
40003,70006,18/05/2021,06:20:25,18.5,1.0,22399.0,22398.0,1.0,N
40003,70006,18/05/2021,06:33:03,20.3,0.9,758.0,757.8,1.0,N
40003,70006,18/05/2021,06:41:20,16.3,1.0,496.9,496.7,1.0,N
40003,70006,18/05/2021,07:08:51,18.8,1.0,1651.3,1651.1,1.0,N
40003,70006,18/05/2021,07:30:21,27.1,1.0,1290.1,1289.9,1.0,N
40003,70006,18/05/2021,07:42:05,17.0,1.1,703.4,703.3,1.0,N
40003,70006,18/05/2021,07:46:09,21.8,1.0,244.0,243.7,1.0,N
40003,70006,18/05/2021,07:51:31,14.1,1.1,321.9,321.7,1.0,N
40003,70006,18/05/2021,08:01:03,16.4,1.1,451.1,450.8,1.0,N
40003,70006,18/05/2021,08:05:48,15.6,1.0,284.9,284.6,1.0,N
40003,70006,18/05/2021,08:12:55,32.0,1.0,426.8,426.6,1.0,N
40003,70006,18/05/2021,08:32:49,20.5,1.0,1194.2,1194.0,1.0,N
40003,70006,18/05/2021,08:36:13,21.2,1.0,203.6,203.4,1.0,N
40003,70007,18/05/2021,08:38:29,14.0,1.2,48556.7,48556.5,1.0,S
40003,70006,18/05/2021,08:48:55,18.1,1.0,761.8,761.6,1.0,N
40003,70006,18/05/2021,08:50:24,25.8,1.0,89.0,88.8,1.0,N
40003,70006,18/05/2021,08:59:43,15.7,1.1,559.2,559.0,1.0,N
40003,70006,18/05/2021,09:02:59,15.0,1.0,196.3,196.0,1.0,N
40003,70006,18/05/2021,09:18:17,21.2,1.1,918.2,918.0,1.0,N
40003,70006,18/05/2021,09:29:36,16.1,1.1,678.9,678.7,1.0,N
40003,70006,18/05/2021,09:35:27,17.6,1.0,351.2,351.0,1.0,N
40003,70006,18/05/2021,09:51:23,17.5,1.0,955.6,955.4,1.0,N
40003,70006,18/05/2021,10:04:18,28.1,1.1,775.0,774.8,1.0,N
40003,70006,18/05/2021,11:08:14,17.9,1.0,232.5,232.3,1.0,N
40003,70006,18/05/2021,11:16:41,10.7,1.0,507.6,507.4,1.0,N
40003,70006,18/05/2021,11:28:22,16.4,1.1,700.9,700.6,1.0,N
40003,70006,18/05/2021,11:37:36,15.8,1.0,554.0,553.8,1.0,N
40003,70006,18/05/2021,11:51:25,13.9,1.0,829.2,828.9,1.0,N
